333.45, 422.39
1457.40, 925.10
2470.41, 1383.70
3353.80, 1784.72
4125.63, 2113.92
4780.82, 2416.50
5324.07, 2684.25
5759.79, 2902.91
6104.08, 3073.56
6366.22, 3213.31
6558.01, 3335.86
6685.17, 3420.11
6784.62, 3497.65
6865.62, 3541.43
6915.58, 3546.34
6884.78, 3544.57
6782.51, 3513.55
6648.52, 3443.68
6426.36, 3335.59
6148.05, 3222.05
5875.18, 3104.91
5608.27, 2973.63
5379.67, 2840.02
5154.68, 2709.39
4921.90, 2609.89
4720.40, 2539.55
4556.78, 2452.61
4408.02, 2377.12
4275.88, 2307.13
4161.65, 2197.88
4014.22, 2082.37
3805.54, 1986.62
3545.83, 1891.03
3267.50, 1748.15
3008.20, 1600.87
2737.46, 1459.02
2415.36, 1266.31
2066.75, 1058.69
1691.37, 836.59
1309.18, 572.43
947.95, 328.72
589.44, 126.62
243.27, -65.44
-107.06, -264.42
-470.54, -439.65
-806.16, -587.08
-1097.79, -743.70
-1392.95, -898.61
-1693.09, -1051.23
-1999.34, -1197.11
-2316.54, -1352.79
-2600.41, -1479.24
-2852.30, -1597.89
-3069.45, -1737.66
-3261.87, -1841.22
-3445.64, -1907.62
-3633.48, -1964.32
-3799.36, -2017.03
-3934.93, -2066.27
-4089.79, -2120.47
-4250.90, -2166.27
-4415.95, -2209.14
-4587.11, -2265.46
-4754.03, -2308.04
-4896.60, -2363.52
-5011.11, -2448.82
-5118.79, -2509.12
-5236.44, -2573.35
-5377.23, -2644.27
-5507.41, -2688.04
-5656.41, -2734.14
-5811.35, -2765.80
-5938.03, -2805.88
-6069.65, -2892.36
-6200.37, -2954.87
-6329.59, -2982.12
-6468.83, -3013.41
-6607.12, -3039.70
-6771.81, -3093.87
-6908.32, -3145.69
-6985.77, -3147.35
-6964.20, -3077.46
-6732.72, -2903.60
-6285.20, -2632.85
-5562.12, -2259.39
-4570.26, -1819.24
-3456.59, -1321.21
-2285.72, -776.61
-1052.89, -218.62
213.25, 318.52
1445.91, 827.96
2580.68, 1300.44
3591.37, 1728.92
4450.08, 2116.10
5151.77, 2444.37
5725.42, 2724.20
6150.65, 2968.14
6456.29, 3162.30
6721.82, 3328.06
6926.11, 3450.41
7048.87, 3549.79
7158.64, 3658.48
7253.50, 3717.82
7272.01, 3741.92
7238.25, 3726.09
7159.48, 3674.88
7041.72, 3600.11
6869.95, 3503.21
6624.65, 3385.46
6358.89, 3272.00
6086.64, 3170.62
5822.91, 3067.36
5591.53, 2975.27
5391.04, 2868.52
5212.13, 2778.89
5055.32, 2747.29
4944.88, 2697.62
4843.67, 2614.02
4714.35, 2540.17
4563.66, 2470.47
4401.05, 2372.46
4222.04, 2228.74
3971.18, 2065.86
3669.23, 1924.88
3340.85, 1770.01
3001.64, 1585.15
2651.97, 1421.77
2280.18, 1244.32
1917.23, 1032.86
1527.46, 799.89
1142.92, 559.38
804.86, 358.40
445.49, 165.80
51.52, -39.01
-299.33, -220.21
-634.04, -417.69
-973.99, -606.79
-1300.00, -752.14
-1621.03, -886.11
-1924.18, -1026.31
-2203.38, -1162.55
-2490.01, -1278.84
-2776.74, -1398.70
-3061.80, -1508.64
-3335.81, -1638.10
-3551.44, -1774.14
-3755.73, -1882.55
-3957.84, -2016.51
-4165.01, -2141.80
-4370.89, -2231.48
-4546.50, -2320.56
-4733.18, -2396.62
-4959.45, -2473.95
-5183.55, -2575.80
-5380.56, -2664.38
-5535.02, -2717.94
-5691.01, -2739.58
-5867.24, -2751.92
-5998.35, -2780.86
-6129.11, -2842.71
-6302.78, -2914.12
-6485.22, -2960.62
-6641.46, -3007.22
-6768.09, -3085.61
-6902.62, -3168.56
-7034.55, -3234.62
-7159.62, -3290.96
-7302.53, -3339.29
-7426.63, -3373.01
-7535.14, -3399.01
-7618.70, -3422.77
-7642.09, -3416.62
-7549.91, -3362.94
-7255.20, -3192.11
-6750.66, -2865.98
-5999.79, -2439.45
-4991.36, -1956.38
-3842.07, -1439.69
-2620.76, -883.65
-1374.14, -303.99
-123.17, 238.75
1091.59, 753.09
2178.41, 1225.89
3133.76, 1647.08
3967.64, 2033.01
4668.71, 2340.80
5224.81, 2589.13
5667.26, 2809.06
6033.42, 3025.28
6345.23, 3221.24
6592.29, 3372.05
6762.80, 3478.35
6895.95, 3548.91
6970.84, 3598.89
6979.34, 3616.32
6943.46, 3632.00
6852.83, 3606.20
6707.59, 3543.87
6520.20, 3449.12
6276.72, 3325.41
5986.52, 3231.61
5737.27, 3097.96
5509.82, 2965.72
5260.93, 2883.40
5080.66, 2816.93
4959.58, 2767.35
4845.89, 2739.39
4758.73, 2712.64
4672.99, 2667.02
4576.91, 2626.78
4465.26, 2559.04
4306.02, 2470.04
4106.23, 2392.82
3891.72, 2285.36
3654.90, 2114.72
3337.94, 1911.32
2947.75, 1707.35
2570.23, 1516.16
2200.98, 1312.22
1828.52, 1083.47
1439.79, 852.56
1040.61, 617.36
655.63, 376.20
280.18, 151.83
-33.45, -49.95
-300.45, -224.68
-577.07, -377.04
-855.57, -526.82
-1133.88, -645.67
-1398.32, -767.41
-1626.22, -878.68
-1823.93, -977.02
-2040.64, -1108.58
-2263.00, -1237.51
-2444.46, -1339.58
-2616.58, -1411.87
-2800.29, -1484.23
-2984.00, -1552.21
-3166.60, -1588.33
-3323.21, -1611.11
-3454.38, -1635.23
-3584.70, -1680.27
-3697.54, -1745.52
-3807.93, -1818.30
-3943.71, -1880.58
-4078.68, -1914.19
-4196.18, -1917.01
-4307.20, -1927.54
-4424.42, -1968.07
