, 31696
39300, 31628
39308, 31624
39316, 31644
39340, 31648
39352, 31660
39356, 31656
39348, 31660
39348, 31668
39364, 31668
39356, 31652
39356, 31700
39380, 31676
39404, 31672
39404, 31684
39412, 31692
39400, 31688
39392, 31680
39412, 31636
39380, 31636
39316, 31608
39320, 31624
39280, 31596
39280, 31596
39256, 31592
39252, 31596
39232, 31576
39260, 31588
39244, 31596
39244, 31592
39224, 31600
39232, 31572
39228, 31588
39196, 31564
39204, 31588
39196, 31600
39208, 31548
39184, 31568
39188, 31556
39180, 31576
39184, 31568
39188, 31564
39156, 31572
39164, 31560
39184, 31572
39200, 31576
39208, 31584
39192, 31572
39200, 31560
39176, 31592
39188, 31568
39192, 31568
39184, 31584
39188, 31572
39196, 31580
39208, 31584
39200, 31564
39200, 31604
39208, 31596
39220, 31588
39216, 31584
39224, 31596
39228, 31592
39236, 31584
39228, 31560
39276, 31592
39252, 31600
39272, 31600
39252, 31604
39288, 31616
39284, 31604
39304, 31632
39312, 31612
39308, 31612
39312, 31608
39320, 31640
39308, 31628
39324, 31624
39332, 31636
39320, 31624
39328, 31628
39356, 31648
39356, 31652
39352, 31656
39364, 31636
39372, 31632
39360, 31640
39372, 31672
39392, 31652
39384, 31672
39424, 31664
39412, 31676
39404, 31672
39424, 31688
39436, 31680
39424, 31684
39440, 31680
39432, 31668
39412, 31648
39416, 31640
39368, 31628
39348, 31612
39316, 31632
39312, 31600
39288, 31604
39300, 31600
39280, 31580
39268, 31600
39256, 31588
39284, 31588
39272, 31588
39284, 31612
39244, 31592
39256, 31576
39256, 31576
39236, 31580
39224, 31568
39228, 31584
39252, 31568
39236, 31564
39220, 31556
39232, 31592
39208, 31592
39240, 31572
39220, 31572
39232, 31572
39232, 31564
39232, 31572
39248, 31572
39224, 31588
39224, 31560
39244, 31572
39228, 31592
39224, 31584
39228, 31576
39244, 31584
39244, 31580
39252, 31580
39228, 31592
39272, 31580
39248, 31604
39264, 31612
39260, 31596
39288, 31624
39260, 31612
39268, 31620
39292, 31620
39292, 31620
39284, 31620
39308, 31644
39300, 31648
39320, 31636
39300, 31628
39316, 31628
39312, 31648
39336, 31632
39340, 31640
39352, 31640
39336, 31644
39348, 31660
39356, 31612
39352, 31652
39372, 31644
39368, 31652
39408, 31676
39388, 31648
39396, 31648
39400, 31692
39416, 31660
39428, 31668
39416, 31664
39424, 31664
39380, 31652
39384, 31624
39320, 31632
39332, 31636
39280, 31612
39300, 31604
39268, 31600
39284, 31600
39272, 31604
39268, 31604
39252, 31580
39252, 31576
39232, 31568
39252, 31584
39248, 31580
39236, 31564
39252, 31552
39244, 31548
39224, 31548
39236, 31572
39220, 31548
39232, 31576
39236, 31568
39232, 31568
39248, 31572
39240, 31556
39228, 31564
39244, 31584
39232, 31576
39252, 31568
39244, 31580
39252, 31580
39228, 31592
39252, 31568
39224, 31576
39248, 31564
39220, 31592
39244, 31580
39232, 31588
39256, 31584
39252, 31564
39276, 31580
39276, 31580
39276, 31592
39276, 31580
39276, 31592
39296, 31580
39288, 31596
39300, 31604
39300, 31584
39304, 31608
39336, 31600
39324, 31608
39316, 31604
39304, 31600
39316, 31620
39312, 31624
39344, 31608
39344, 31600
39336, 31612
39340, 31616
39376, 31600
39376, 31612
39340, 31612
39360, 31604
39376, 31600
39380, 31624
39388, 31608
39380, 31620
39420, 31652
39428, 31632
39432, 31660
39412, 31644
39428, 31640
39408, 31608
